Cliente;Motorista;Data Emissão Pedido;Data Entrega Prevista;Destino;Itens;R$ Faturados;Saída para Entrega; Qtd Devolução;Mot. Devolução;Status - OTD;OCT Real;OCT Prometido;Lead Time Interno Total;LTI Conformidade;Transit Time / Last Mile;TT Conformidade;Lead Time Variance Completo / Desvio de SLA;OTIF;OTIF MOTIVOS E MOTORISTAS ENTREGA PERFEITA;OTIF Financeiro
WALMART;FELIPE SILVA;20/05/2019;30/05/2019;BH;10;340;22/05/2019;0;S/ Devolu.;No Prazo;7;10;2;Processo dentro do prazo;5;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Satisfeito;FELIPE SILVA;Satisfeito sem prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;21/05/2019;31/05/2019;RJ;7;340,2;31/05/2019;0;S/ Devolu.;Atrasado;14;10;10;Excedeu Processo;4;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;21/05/2019;31/05/2019;RJ;8;136;24/05/2019;1;Produto Errado;Atrasado;15;10;3;Processo dentro do prazo;12;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;22/05/2019;01/06/2019;SP;6;97,2;25/05/2019;1;Danificado;No Prazo;7;10;3;Processo dentro do prazo;4;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;22/05/2019;01/06/2019;RJ;10;340;24/05/2019;0;S/ Devolu.;No Prazo;10;10;2;Processo dentro do prazo;8;Excedeu Processo; No Prazo Exato (OnTime);Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
WALMART;TÚLIO SILVEIRA;27/05/2019;06/06/2019;RJ;20;316;06/06/2019;1;Produto Errado;Atrasado;15;10;10;Excedeu Processo;5;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;28/05/2019;07/06/2019;BH;6;198;04/06/2019;0;S/ Devolu.;Atrasado;15;10;7;Excedeu Processo;8;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;TÚLIO SILVEIRA;31/05/2019;10/06/2019;RJ;19;298,3;03/06/2019;1;Danificado;Atrasado;14;10;3;Processo dentro do prazo;11;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;02/06/2019;12/06/2019;SP;2;33,6;03/06/2019;1;Danificado;No Prazo;9;10;1;Processo dentro do prazo;8;Excedeu Processo;1 dia Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;04/06/2019;14/06/2019;BH;6;97,8;05/06/2019;0;S/ Devolu.;Atrasado;12;10;1;Processo dentro do prazo;11;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;04/06/2019;14/06/2019;BH;7;109,9;10/06/2019;1;Danificado;Atrasado;13;10;6;Excedeu Processo;7;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;05/06/2019;15/06/2019;BH;12;405,6;11/06/2019;1;Danificado;Atrasado;11;10;6;Excedeu Processo;5;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;07/06/2019;17/06/2019;RJ;17;816;18/06/2019;0;S/ Devolu.;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
AMERICANAS;MARCOS LEROY;08/06/2019;18/06/2019;RJ;9;437,4;10/06/2019;1;Danificado;No Prazo;5;10;2;Processo dentro do prazo;3;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;09/06/2019;19/06/2019;RJ;19;963,3;10/06/2019;2;Produto Errado;Atrasado;12;10;1;Processo dentro do prazo;11;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;12/06/2019;22/06/2019;BH;13;434,2;16/06/2019;3;Danificado;Atrasado;12;10;4;Processo dentro do prazo;8;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;13/06/2019;23/06/2019;SP;13;421,2;17/06/2019;0;S/ Devolu.;No Prazo;5;10;4;Processo dentro do prazo;1;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Satisfeito;TÚLIO SILVEIRA;Satisfeito sem prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;15/06/2019;25/06/2019;RJ;8;405,6;21/06/2019;0;S/ Devolu.;Atrasado;14;10;6;Excedeu Processo;8;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;15/06/2019;25/06/2019;BH;8;388,8;20/06/2019;7;Danificado;Atrasado;11;10;5;Processo dentro do prazo;6;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;16/06/2019;26/06/2019;RJ;11;360,8;19/06/2019;2;Produto Errado;No Prazo;10;10;3;Processo dentro do prazo;7;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;17/06/2019;27/06/2019;BH;9;429,3;20/06/2019;0;S/ Devolu.;No Prazo;5;10;3;Processo dentro do prazo;2;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Satisfeito;VALDIR ESPINOSA;Satisfeito sem prejuízo financeiro
AMERICANAS;TÚLIO SILVEIRA;17/06/2019;27/06/2019;SP;1;45;23/06/2019;1;Produto Errado;Atrasado;13;10;6;Excedeu Processo;7;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;21/06/2019;01/07/2019;RJ;7;233,8;03/07/2019;2;Danificado;Atrasado;15;10;12;Excedeu Processo;3;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;22/06/2019;02/07/2019;RJ;7;338,1;07/07/2019;5;Danificado;Atrasado;16;10;15;Excedeu Processo;1;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;27/06/2019;07/07/2019;SP;17;810,9;28/06/2019;0;S/ Devolu.;No Prazo;8;10;1;Processo dentro do prazo;7;Excedeu Processo;2 dias Entregue Antes do Prazo;Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;27/06/2019;07/07/2019;SP;8;268,8;06/07/2019;1;Danificado;Atrasado;18;10;9;Excedeu Processo;9;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;28/06/2019;08/07/2019;SP;16;806,4;04/07/2019;0;S/ Devolu.;Atrasado;14;10;6;Excedeu Processo;8;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;29/06/2019;09/07/2019;BH;16;811,2;30/06/2019;0;S/ Devolu.;Atrasado;11;10;1;Processo dentro do prazo;10;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;1 dia Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;JOÃO GOMES;01/07/2019;11/07/2019;RJ;18;586,8;12/07/2019;4;Danificado;Atrasado;18;10;11;Excedeu Processo;7;Excedeu Processo;8 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;01/07/2019;11/07/2019;BH;9;437,4;07/07/2019;2;Produto Errado;Atrasado;16;10;6;Excedeu Processo;10;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;LUIZ PARDAL;03/07/2019;13/07/2019;SP;16;240;06/07/2019;0;S/ Devolu.;Atrasado;13;10;3;Processo dentro do prazo;10;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;3 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
AMERICANAS;LUIZ PARDAL;03/07/2019;13/07/2019;RJ;20;942;12/07/2019;2;Danificado;Atrasado;14;10;9;Excedeu Processo;5;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;05/07/2019;15/07/2019;BH;16;806,4;12/07/2019;1;Produto Errado;Atrasado;13;10;7;Excedeu Processo;6;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;MARCOS LEROY;06/07/2019;16/07/2019;BH;11;180,4;12/07/2019;10;Danificado;Atrasado;16;10;6;Excedeu Processo;10;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;07/07/2019;17/07/2019;BH;8;262,4;09/07/2019;0;S/ Devolu.;No Prazo;10;10;2;Processo dentro do prazo;8;Excedeu Processo; No Prazo Exato (OnTime);Satisfeito;VALDIR ESPINOSA;Satisfeito sem prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;07/07/2019;17/07/2019;SP;14;473,2;12/07/2019;0;S/ Devolu.;Atrasado;15;10;5;Processo dentro do prazo;10;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;08/07/2019;18/07/2019;SP;15;232,5;16/07/2019;1;Produto Errado;Atrasado;13;10;8;Excedeu Processo;5;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;10/07/2019;20/07/2019;BH;20;334;20/07/2019;0;S/ Devolu.;Atrasado;16;10;10;Excedeu Processo;6;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;6 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;VALDIR ESPINOSA;10/07/2019;20/07/2019;RJ;16;240;19/07/2019;0;S/ Devolu.;Atrasado;17;10;9;Excedeu Processo;8;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;7 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;VALDIR ESPINOSA;12/07/2019;22/07/2019;RJ;13;585;17/07/2019;2;Produto Errado;Atrasado;15;10;5;Processo dentro do prazo;10;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;MARCOS LEROY;13/07/2019;23/07/2019;BH;11;356,4;16/07/2019;1;Arrependimento;No Prazo;8;10;3;Processo dentro do prazo;5;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;13/07/2019;23/07/2019;BH;9;147,6;14/07/2019;0;S/ Devolu.;Atrasado;11;10;1;Processo dentro do prazo;10;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;1 dia Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;JOÃO GOMES;16/07/2019;26/07/2019;RJ;15;486;17/07/2019;1;Produto Errado;No Prazo;4;10;1;Processo dentro do prazo;3;Processo dentro do prazo;6 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;16/07/2019;26/07/2019;SP;7;231;21/07/2019;0;S/ Devolu.;Atrasado;12;10;5;Processo dentro do prazo;7;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;2 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
AMERICANAS;JOÃO GOMES;18/07/2019;28/07/2019;BH;2;98,4;25/07/2019;2;Produto Errado;Atrasado;17;10;7;Excedeu Processo;10;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;JOÃO GOMES;18/07/2019;28/07/2019;RJ;12;583,2;25/07/2019;3;Produto Errado;Atrasado;11;10;7;Excedeu Processo;4;Processo dentro do prazo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;21/07/2019;31/07/2019;RJ;3;150,3;25/07/2019;1;Danificado;Atrasado;11;10;4;Processo dentro do prazo;7;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;21/07/2019;31/07/2019;RJ;10;310;28/07/2019;10;Danificado;No Prazo;8;10;7;Excedeu Processo;1;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;JOÃO GOMES;22/07/2019;01/08/2019;RJ;6;279;27/07/2019;2;Danificado;Atrasado;13;10;5;Processo dentro do prazo;8;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;23/07/2019;02/08/2019;BH;7;342,3;29/07/2019;3;Danificado;Atrasado;13;10;6;Excedeu Processo;7;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;MARCOS LEROY;25/07/2019;04/08/2019;RJ;4;67,6;26/07/2019;1;Danificado;Atrasado;13;10;1;Processo dentro do prazo;12;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
